"","organisation_country","organisation_name","no_projects"
"1","Afghanistan","Swedish Committee for Afghanistan (SCA)",1
"2","Angola","Catholic University of Angola",1
"3","Argentina","University of Buenos Aires",2
"4","Argentina","CENIT",1
"5","Argentina","Universidad Buenos Aires",1
"6","Australia","University of New South Wales",6
"7","Australia","University of Sydney",6
"8","Australia","University of Melbourne",4
"9","Australia","University of Western Australia",4
"10","Australia","University of Queensland",3
"11","Australia","Burnet Institute",2
"12","Australia","Monash University",2
"13","Australia","Australia Mekong Partnership for Environmental Resources & Energy Systems Ltd",1
"14","Australia","Australian Catholic University",1
"15","Australia","Australian National University (ANU)",1
"16","Australia","CSIRO",1
"17","Australia","Deakin University",1
"18","Australia","University of Technology Sydney",1
"19","Australia","University of the Sunshine Coast",1
"20","Austria","Federal Ministry of Justice",1
"21","Austria","Geological Survey of Austria",1
"22","Austria","Intl Inst Applied Systems Analysis IIASA",1
"23","Azerbaijan","ADA University",1
"24","Bangladesh","ARK Foundation",8
"25","Bangladesh","BRAC University",8
"26","Bangladesh","Bangladesh Uni of Engineering and Tech",3
"27","Bangladesh","International Centre for Diarrhoeal Disease Research Bangladesh (icddr,b)",3
"28","Bangladesh","University of Dhaka",3
"29","Bangladesh","Advancement through Research and Knowledge (ARK) Foundation",2
"30","Bangladesh","Diabetic Association of Bangladesh DABBD",2
"31","Bangladesh","International Centre for Diarrhoeal Disease Research (Bangladesh)",2
"32","Bangladesh","Bangladesh Agricultural University",1
"33","Bangladesh","Bangladesh Livestock Research Institute",1
"34","Bangladesh","Bangladesh Primary Care Respiratory Society",1
"35","Bangladesh","Bangladesh Rice Research Institute",1
"36","Bangladesh","Bangladesh University of Engineering and Technology (BUET)",1
"37","Bangladesh","BIGD, BRAC University, Bangladesh",1
"38","Bangladesh","BRAC",1
"39","Bangladesh","Centre for Injury Prevention and Research Bangladesh",1
"40","Bangladesh","Child Health Research Foundation",1
"41","Bangladesh","Chittagong Medical College",1
"42","Bangladesh","Diabetic Association of Bangladesh",1
"43","Bangladesh","Independent University, Bangladesh",1
"44","Bangladesh","International Centre for Diarrhoeal Disease Research, Bangladesh",1
"45","Bangladesh","IPA Bangladesh",1
"46","Bangladesh","Khulna University",1
"47","Bangladesh","Mahidol Oxford Tropical Medicine Research Unit - Bangladesh",1
"48","Bangladesh","Projahnmo Research Foundation",1
"49","Bangladesh","University of Asia Pacific",1
"50","Bangladesh","University of Liberal Arts",1
"51","Bangladesh","University of Rajshahi",1
"52","Belarus","Belarusian State University",2
"53","Belgium","University of Ghent",3
"54","Belgium","AVIA-GIS",1
"55","Belgium","Free University of Brussels (ULB)",1
"56","Belgium","International Crisis Group",1
"57","Belgium","University of Antwerp",1
"58","Belgium","University of Namur",1
"59","Belgium","University of Namur (FUNDP)",1
"60","Benin","Faculté des Sciences de la Santé",2
"61","Benin","International Institute of Tropical Agriculture",1
"62","Bhutan","Royal University of Bhutan",2
"63","Bhutan","University of Bhutan",1
"64","Bolivia","Bolivian Red Cross",1
"65","Bolivia","Greater University of San Simon",1
"66","Bolivia","Nur University",1
"67","Bosnia And Herzegovina","United Nations Development Programme",1
"68","Bosnia And Herzegovina","University of Sarajevo",1
"69","Botswana","University of Botswana",4
"70","Botswana","Botswana International Uni of Sci & Tech",2
"71","Botswana","Botswana Harvard AIDS Initiative Partner",1
"72","Botswana","Botswana Harvard Aids Institute",1
"73","Botswana","Botswana Institute for Technology",1
"74","Botswana","Botswana Institute for Technology Research and Innovation (BITRI)",1
"75","Botswana","CDC Botswana - BOTUSA",1
"76","Botswana","WaterNet Trust",1
"77","Brazil","Federal University of Rio de Janeiro",9
"78","Brazil","Federal University of Bahia",4
"79","Brazil","University of Brasilia",4
"80","Brazil","University of São Paulo",3
