"","id","all_countries","title","abstract","start_date","end_date","amount","period_start","period_end","currency","extending_org","lead_org_name","lead_org_country","partner_org_name","partner_org_country","iati_id","Fund","Funder","recipient_country","subject","status","last_updated","link","fcdo_programme_id","funder_programme"
"1","GB-GOV-3-Chevening-Scholarships-BD","Bangladesh","Chevening Scholarships in Bangladesh","Assistance in line with UK objectives on Chevening Scholarships in Bangladesh which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,977408,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-BD","Chevening Scholarships","Foreign, Commonwealth and Development Office","Bangladesh","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-BD","",NA
"2","GB-GOV-3-Chevening-Scholarships-CN","China","Chevening Scholarships in China","Assistance in line with UK objectives on Chevening Scholarships in China which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,4856698,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-CN","Chevening Scholarships","Foreign, Commonwealth and Development Office","China","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-CN","",NA
"3","GB-GOV-3-Chevening-Scholarships-FJ","Fiji","Chevening Scholarships in Fiji","Assistance in line with UK objectives on Chevening Scholarships in Fiji which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,149134,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-FJ","Chevening Scholarships","Foreign, Commonwealth and Development Office","Fiji","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-FJ","",NA
"4","GB-GOV-3-Chevening-Scholarships-ID","Indonesia","Chevening Scholarships in Indonesia","Assistance in line with UK objectives on Chevening Scholarships in Indonesia which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,4246410,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-ID","Chevening Scholarships","Foreign, Commonwealth and Development Office","Indonesia","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-ID","",NA
"5","GB-GOV-3-Chevening-Scholarships-IN","India","Chevening Scholarships in India","Assistance in line with UK objectives on Chevening Scholarships in India which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,4127320,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-IN","Chevening Scholarships","Foreign, Commonwealth and Development Office","India","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-IN","",NA
"6","GB-GOV-3-Chevening-Scholarships-KH","Cambodia","Chevening Scholarships in Cambodia","Assistance in line with UK objectives on Chevening Scholarships in Cambodia which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,NA,NA,NA,NA,"Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-KH","Chevening Scholarships","Foreign, Commonwealth and Development Office","Cambodia","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-KH","",NA
"7","GB-GOV-3-Chevening-Scholarships-LK","Sri Lanka","Chevening Scholarships in Sri Lanka","Assistance in line with UK objectives on Chevening Scholarships in Sri Lanka which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,627438,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-LK","Chevening Scholarships","Foreign, Commonwealth and Development Office","Sri Lanka","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-LK","",NA
"8","GB-GOV-3-Chevening-Scholarships-MM","Myanmar","Chevening Scholarships in Burma","Assistance in line with UK objectives on Chevening Scholarships in Burma which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,835586,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-MM","Chevening Scholarships","Foreign, Commonwealth and Development Office","Myanmar","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-MM","",NA
"9","GB-GOV-3-Chevening-Scholarships-MN","Mongolia","Chevening Scholarships in Mongolia","Assistance in line with UK objectives on Chevening Scholarships in Mongolia which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,684670,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-MN","Chevening Scholarships","Foreign, Commonwealth and Development Office","Mongolia","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-MN","",NA
"10","GB-GOV-3-Chevening-Scholarships-MV","Maldives","Chevening Scholarships in Maldives","Assistance in line with UK objectives on Chevening Scholarships in Maldives which enables students to pursue postgraduate study at UK higher education institutions, returning to contribute to the development of their home country","2018-04-01",NA,310190,"2019-04-01","2021-03-31","GBP","Foreign, Commonwealth and Development Office",NA,"United Kingdom","","","GB-GOV-3-Chevening-Scholarships-MV","Chevening Scholarships","Foreign, Commonwealth and Development Office","Maldives","Higher education","Unknown",2021-06-30,"https://d-portal.org/ctrack.html#view=act&aid=GB-GOV-3-Chevening-Scholarships-MV","",NA
